approach	metaheuristica	instancia	n_tareas	bks_referencia	bks_origen	gap_bks_porcentaje	repeticion	semilla	mejor_costo	costo_solucion_inicial	mejora_absoluta	mejora_porcentaje	tiempo_segundos	iteraciones_totales	mejoras	mejor_solucion_factible_final	n_resets_kick	costo_total_desde_reporte	parametros	conteo_operadores
pr_aislado	cuckoo_search	gdb19	11	55.0	BKS	18.181818181818183	2		65.0	71.0	6.0	8.450704225352112	1.4722694760130253	220	2	True	7	65.0	abandonos_totales=220; aceptaciones_solucion_infactible=34; beta_levy=1.3; fraccion_iter_con_violacion=0.12272727272727273; intensificador=path_relinking_limpio; iteraciones_con_violacion=27; iteraciones_efectivas=220; iteraciones_sin_mejora_final=10; lambda_capacidad=60.0; max_iter_sin_mejora_efectivo=50; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=105; selector=p_inter; umbral_pr=30	relocate_intra:P1498/A69/M0 | swap_intra:P2083/A99/M1 | 2opt_intra:P2070/A104/M0 | relocate_inter:P149/A6/M0 | swap_inter:P238/A6/M0 | 2opt_star:P212/A4/M1 | cross_exchange:P240/A17/M0 | or_opt_2:P220/A12/M0 | or_opt_3:P221/A8/M0
pr_aislado	cuckoo_search	gdb19	11	55.0	BKS	0.0	3		55.0	71.0	16.0	22.535211267605636	1.3063255500019295	220	3	True	7	55.0	abandonos_totales=220; aceptaciones_solucion_infactible=69; beta_levy=1.3; fraccion_iter_con_violacion=0.2545454545454545; intensificador=path_relinking_limpio; iteraciones_con_violacion=56; iteraciones_efectivas=220; iteraciones_sin_mejora_final=10; lambda_capacidad=60.0; max_iter_sin_mejora_efectivo=50; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=111; selector=p_inter; umbral_pr=30	relocate_intra:P1250/A51/M0 | swap_intra:P1867/A94/M1 | 2opt_intra:P1940/A96/M0 | relocate_inter:P225/A12/M0 | swap_inter:P383/A22/M2 | 2opt_star:P347/A11/M0 | cross_exchange:P334/A11/M0 | or_opt_2:P324/A22/M0 | or_opt_3:P363/A12/M0
pr_aislado	cuckoo_search	gdb19	11	55.0	BKS	3.6363636363636362	4		57.0	71.0	14.0	19.718309859154928	1.2508530490013072	220	3	True	7	57.0	abandonos_totales=220; aceptaciones_solucion_infactible=42; beta_levy=1.3; fraccion_iter_con_violacion=0.1590909090909091; intensificador=path_relinking_limpio; iteraciones_con_violacion=35; iteraciones_efectivas=220; iteraciones_sin_mejora_final=10; lambda_capacidad=60.0; max_iter_sin_mejora_efectivo=50; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=112; selector=p_inter; umbral_pr=30	relocate_intra:P1463/A65/M0 | swap_intra:P2005/A108/M0 | 2opt_intra:P1989/A99/M2 | relocate_inter:P187/A5/M0 | swap_inter:P260/A13/M1 | 2opt_star:P260/A13/M0 | cross_exchange:P269/A13/M0 | or_opt_2:P268/A6/M0 | or_opt_3:P271/A10/M0
pr_aislado	cuckoo_search	gdb19	11	55.0	BKS	14.545454545454545	5		63.0	71.0	8.0	11.267605633802818	1.555642548002652	220	4	True	7	63.0	abandonos_totales=220; aceptaciones_solucion_infactible=49; beta_levy=1.3; fraccion_iter_con_violacion=0.16818181818181818; intensificador=path_relinking_limpio; iteraciones_con_violacion=37; iteraciones_efectivas=220; iteraciones_sin_mejora_final=10; lambda_capacidad=60.0; max_iter_sin_mejora_efectivo=50; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=105; selector=p_inter; umbral_pr=30	relocate_intra:P1438/A77/M2 | swap_intra:P1992/A78/M0 | 2opt_intra:P1995/A96/M0 | relocate_inter:P199/A6/M0 | swap_inter:P293/A16/M0 | 2opt_star:P269/A13/M1 | cross_exchange:P295/A13/M0 | or_opt_2:P295/A12/M0 | or_opt_3:P306/A14/M1
pr_aislado	cuckoo_search	gdb2	26	339.0	BKS	15.339233038348082	1		391.0	431.0	40.0	9.280742459396752	3.763256445992738	520	1	True	17	391.0	abandonos_totales=520; aceptaciones_solucion_infactible=157; beta_levy=1.3; fraccion_iter_con_violacion=0.225; intensificador=path_relinking_limpio; iteraciones_con_violacion=117; iteraciones_efectivas=520; iteraciones_sin_mejora_final=10; lambda_capacidad=150.0; max_iter_sin_mejora_efectivo=78; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=221; selector=p_inter; umbral_pr=30	relocate_intra:P3413/A139/M0 | swap_intra:P4430/A205/M1 | 2opt_intra:P4460/A199/M0 | relocate_inter:P624/A31/M0 | swap_inter:P771/A29/M0 | 2opt_star:P729/A49/M0 | cross_exchange:P725/A41/M0 | or_opt_2:P658/A21/M0 | or_opt_3:P742/A27/M0
pr_aislado	cuckoo_search	gdb2	26	339.0	BKS	14.749262536873156	2		389.0	431.0	42.0	9.744779582366588	3.1472616829996696	520	2	True	17	389.0	abandonos_totales=520; aceptaciones_solucion_infactible=105; beta_levy=1.3; fraccion_iter_con_violacion=0.1576923076923077; intensificador=path_relinking_limpio; iteraciones_con_violacion=82; iteraciones_efectivas=520; iteraciones_sin_mejora_final=10; lambda_capacidad=150.0; max_iter_sin_mejora_efectivo=78; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=228; selector=p_inter; umbral_pr=30	relocate_intra:P3551/A159/M1 | swap_intra:P4732/A206/M0 | 2opt_intra:P4810/A236/M0 | relocate_inter:P498/A27/M0 | swap_inter:P593/A23/M1 | 2opt_star:P621/A27/M0 | cross_exchange:P573/A25/M0 | or_opt_2:P570/A22/M0 | or_opt_3:P581/A23/M0
pr_aislado	cuckoo_search	gdb2	26	339.0	BKS	20.943952802359885	3		410.0	431.0	21.0	4.872389791183294	3.816110273997765	520	4	True	17	410.0	abandonos_totales=520; aceptaciones_solucion_infactible=108; beta_levy=1.3; fraccion_iter_con_violacion=0.1673076923076923; intensificador=path_relinking_limpio; iteraciones_con_violacion=87; iteraciones_efectivas=520; iteraciones_sin_mejora_final=10; lambda_capacidad=150.0; max_iter_sin_mejora_efectivo=78; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=205; selector=p_inter; umbral_pr=30	relocate_intra:P3633/A162/M1 | swap_intra:P4555/A198/M1 | 2opt_intra:P4702/A215/M0 | relocate_inter:P520/A25/M1 | swap_inter:P577/A24/M0 | 2opt_star:P604/A32/M0 | cross_exchange:P654/A28/M0 | or_opt_2:P644/A21/M1 | or_opt_3:P583/A20/M0
pr_aislado	cuckoo_search	gdb2	26	339.0	BKS	15.339233038348082	4		391.0	431.0	40.0	9.280742459396752	3.1641186870110687	520	4	True	17	391.0	abandonos_totales=520; aceptaciones_solucion_infactible=148; beta_levy=1.3; fraccion_iter_con_violacion=0.21346153846153845; intensificador=path_relinking_limpio; iteraciones_con_violacion=111; iteraciones_efectivas=520; iteraciones_sin_mejora_final=10; lambda_capacidad=150.0; max_iter_sin_mejora_efectivo=78; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=209; selector=p_inter; umbral_pr=30	relocate_intra:P3438/A142/M0 | swap_intra:P4645/A199/M2 | 2opt_intra:P4387/A203/M0 | relocate_inter:P650/A33/M0 | swap_inter:P697/A30/M1 | 2opt_star:P718/A28/M0 | cross_exchange:P699/A28/M1 | or_opt_2:P749/A33/M0 | or_opt_3:P747/A33/M0
pr_aislado	cuckoo_search	gdb2	26	339.0	BKS	17.10914454277286	5		397.0	431.0	34.0	7.888631090487238	3.142162766002002	520	1	True	17	397.0	abandonos_totales=520; aceptaciones_solucion_infactible=88; beta_levy=1.3; fraccion_iter_con_violacion=0.13846153846153847; intensificador=path_relinking_limpio; iteraciones_con_violacion=72; iteraciones_efectivas=520; iteraciones_sin_mejora_final=10; lambda_capacidad=150.0; max_iter_sin_mejora_efectivo=78; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=223; selector=p_inter; umbral_pr=30	relocate_intra:P3720/A163/M0 | swap_intra:P4837/A224/M0 | 2opt_intra:P4814/A225/M1 | relocate_inter:P440/A21/M0 | swap_inter:P532/A25/M0 | 2opt_star:P515/A22/M0 | cross_exchange:P560/A20/M0 | or_opt_2:P513/A21/M0 | or_opt_3:P579/A22/M0
pr_aislado	cuckoo_search	gdb20	22	121.0	BKS	23.140495867768596	1		149.0	147.0	-2.0	-1.3605442176870748	3.115529818998766	440	5	True	14	149.0	abandonos_totales=440; aceptaciones_solucion_infactible=205; beta_levy=1.3; fraccion_iter_con_violacion=0.30227272727272725; intensificador=path_relinking_limpio; iteraciones_con_violacion=133; iteraciones_efectivas=440; iteraciones_sin_mejora_final=20; lambda_capacidad=60.0; max_iter_sin_mejora_efectivo=66; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=187; selector=p_inter; umbral_pr=30	relocate_intra:P2764/A118/M1 | swap_intra:P3434/A142/M1 | 2opt_intra:P3522/A185/M3 | relocate_inter:P561/A26/M0 | swap_inter:P773/A42/M0 | 2opt_star:P774/A36/M0 | cross_exchange:P764/A28/M0 | or_opt_2:P739/A27/M0 | or_opt_3:P763/A23/M0
