approach	metaheuristica	instancia	bks_referencia	bks_origen	gap_bks_porcentaje	repeticion	semilla	tiempo_segundos	mejor_costo	costo_solucion_inicial	mejora_absoluta	mejora_porcentaje	iteraciones_totales	mejoras	mejor_solucion_factible_final	n_resets_kick	costo_total_desde_reporte	n_tareas	parametros	conteo_operadores
solo_p_inter	cuckoo_search	gdb10	275.0	BKS	14.181818181818182	4		0.3233103140082676	314.0	320.0	6.0	1.875	75	1	True	0	314.0	25	abandonos_totales=75; aceptaciones_solucion_infactible=21; beta_levy=1.3; fraccion_iter_con_violacion=0.22666666666666666; iteraciones_con_violacion=17; iteraciones_efectivas=500; iteraciones_sin_mejora_final=75; lambda_capacidad=150.0; max_iter_sin_mejora_efectivo=75; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=44	relocate_intra=P534/A26/M0; swap_intra=P627/A37/M1; 2opt_intra=P607/A31/M0; relocate_inter=P83/A3/M0; swap_inter=P108/A2/M0; 2opt_star=P101/A3/M0; cross_exchange=P96/A4/M0; or_opt_2=P116/A8/M0; or_opt_3=P119/A5/M0
solo_p_inter	cuckoo_search	gdb10	275.0	BKS	16.363636363636363	5		0.5543251740018604	320.0	320.0	0.0	0.0	75	0	True	0	320.0	25	abandonos_totales=75; aceptaciones_solucion_infactible=25; beta_levy=1.3; fraccion_iter_con_violacion=0.29333333333333333; iteraciones_con_violacion=22; iteraciones_efectivas=500; iteraciones_sin_mejora_final=75; lambda_capacidad=150.0; max_iter_sin_mejora_efectivo=75; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=40	relocate_intra=P476/A25/M0; swap_intra=P584/A27/M0; 2opt_intra=P523/A32/M0; relocate_inter=P97/A5/M0; swap_inter=P125/A4/M0; 2opt_star=P149/A7/M0; cross_exchange=P135/A5/M0; or_opt_2=P125/A7/M0; or_opt_3=P150/A3/M0
solo_p_inter	cuckoo_search	gdb12	458.0	BKS	43.44978165938865	1		0.380583200007095	657.0	703.0	46.0	6.543385490753911	69	11	True	0	657.0	23	abandonos_totales=69; aceptaciones_solucion_infactible=89; beta_levy=1.3; fraccion_iter_con_violacion=0.7391304347826086; iteraciones_con_violacion=51; iteraciones_efectivas=460; iteraciones_sin_mejora_final=69; lambda_capacidad=240.0; max_iter_sin_mejora_efectivo=69; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=92	relocate_intra=P211/A25/M5; swap_intra=P307/A24/M2; 2opt_intra=P299/A34/M2; relocate_inter=P191/A16/M1; swap_inter=P229/A19/M1; 2opt_star=P220/A11/M0; cross_exchange=P249/A10/M0; or_opt_2=P237/A10/M0; or_opt_3=P252/A12/M0
solo_p_inter	cuckoo_search	gdb12	458.0	BKS	32.751091703056765	2		0.4279975050012581	608.0	703.0	95.0	13.513513513513514	69	10	True	0	608.0	23	abandonos_totales=69; aceptaciones_solucion_infactible=37; beta_levy=1.3; fraccion_iter_con_violacion=0.3188405797101449; iteraciones_con_violacion=22; iteraciones_efectivas=460; iteraciones_sin_mejora_final=69; lambda_capacidad=240.0; max_iter_sin_mejora_efectivo=69; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=91	relocate_intra=P378/A29/M2; swap_intra=P597/A53/M1; 2opt_intra=P542/A40/M5; relocate_inter=P95/A9/M1; swap_inter=P138/A4/M0; 2opt_star=P127/A8/M1; cross_exchange=P121/A8/M0; or_opt_2=P125/A4/M0; or_opt_3=P119/A5/M0
solo_p_inter	cuckoo_search	gdb12	458.0	BKS	49.56331877729257	3		0.4248138990078587	685.0	703.0	18.0	2.5604551920341394	69	18	True	0	685.0	23	abandonos_totales=69; aceptaciones_solucion_infactible=64; beta_levy=1.3; fraccion_iter_con_violacion=0.4927536231884058; iteraciones_con_violacion=34; iteraciones_efectivas=460; iteraciones_sin_mejora_final=69; lambda_capacidad=240.0; max_iter_sin_mejora_efectivo=69; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=105	relocate_intra=P324/A29/M3; swap_intra=P448/A44/M7; 2opt_intra=P421/A42/M4; relocate_inter=P151/A10/M0; swap_inter=P184/A11/M1; 2opt_star=P155/A13/M2; cross_exchange=P186/A13/M1; or_opt_2=P153/A8/M0; or_opt_3=P164/A4/M0
solo_p_inter	cuckoo_search	gdb12	458.0	BKS	55.24017467248908	4		0.35421941499225795	711.0	703.0	-8.0	-1.1379800853485065	69	15	True	0	711.0	23	abandonos_totales=69; aceptaciones_solucion_infactible=129; beta_levy=1.3; fraccion_iter_con_violacion=0.7536231884057971; iteraciones_con_violacion=52; iteraciones_efectivas=460; iteraciones_sin_mejora_final=69; lambda_capacidad=240.0; max_iter_sin_mejora_efectivo=69; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=135	relocate_intra=P214/A33/M1; swap_intra=P291/A31/M8; 2opt_intra=P316/A44/M4; relocate_inter=P205/A7/M0; swap_inter=P220/A23/M1; 2opt_star=P245/A18/M0; cross_exchange=P221/A19/M1; or_opt_2=P231/A10/M0; or_opt_3=P224/A19/M0
solo_p_inter	cuckoo_search	gdb12	458.0	BKS	43.01310043668122	5		0.5636196730047232	655.0	703.0	48.0	6.827880512091039	69	8	True	0	655.0	23	abandonos_totales=69; aceptaciones_solucion_infactible=96; beta_levy=1.3; fraccion_iter_con_violacion=0.6231884057971014; iteraciones_con_violacion=43; iteraciones_efectivas=460; iteraciones_sin_mejora_final=69; lambda_capacidad=240.0; max_iter_sin_mejora_efectivo=69; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=115	relocate_intra=P286/A25/M2; swap_intra=P364/A47/M2; 2opt_intra=P413/A43/M2; relocate_inter=P159/A9/M0; swap_inter=P193/A15/M1; 2opt_star=P191/A13/M0; cross_exchange=P192/A13/M1; or_opt_2=P200/A13/M0; or_opt_3=P202/A6/M0
solo_p_inter	cuckoo_search	gdb13	536.0	BKS	14.738805970149254	1		0.7441683400102193	615.0	660.0	45.0	6.8181818181818175	84	1	False	0	615.0	28	abandonos_totales=84; aceptaciones_solucion_infactible=202; beta_levy=1.3; fraccion_iter_con_violacion=1.0; iteraciones_con_violacion=84; iteraciones_efectivas=560; iteraciones_sin_mejora_final=84; lambda_capacidad=110.0; max_iter_sin_mejora_efectivo=84; num_nidos_efectivo=11; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=118	relocate_intra=P181/A31/M0; swap_intra=P219/A34/M0; 2opt_intra=P216/A32/M0; relocate_inter=P322/A8/M0; swap_inter=P381/A14/M0; 2opt_star=P399/A23/M1; cross_exchange=P382/A22/M0; or_opt_2=P387/A16/M0; or_opt_3=P440/A22/M0
solo_p_inter	cuckoo_search	gdb13	536.0	BKS	23.134328358208954	2		0.7303205209900625	660.0	660.0	0.0	0.0	84	0	False	0	660.0	28	abandonos_totales=84; aceptaciones_solucion_infactible=183; beta_levy=1.3; fraccion_iter_con_violacion=1.0; iteraciones_con_violacion=84; iteraciones_efectivas=560; iteraciones_sin_mejora_final=84; lambda_capacidad=110.0; max_iter_sin_mejora_efectivo=84; num_nidos_efectivo=11; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=99	relocate_intra=P186/A18/M0; swap_intra=P206/A27/M0; 2opt_intra=P219/A33/M0; relocate_inter=P335/A13/M0; swap_inter=P384/A17/M0; 2opt_star=P407/A14/M0; cross_exchange=P416/A24/M0; or_opt_2=P385/A16/M0; or_opt_3=P399/A21/M0
solo_p_inter	cuckoo_search	gdb13	536.0	BKS	20.522388059701495	3		0.5896997660020133	646.0	660.0	14.0	2.1212121212121215	84	0	False	0	646.0	28	abandonos_totales=84; aceptaciones_solucion_infactible=175; beta_levy=1.3; fraccion_iter_con_violacion=1.0; iteraciones_con_violacion=84; iteraciones_efectivas=560; iteraciones_sin_mejora_final=84; lambda_capacidad=110.0; max_iter_sin_mejora_efectivo=84; num_nidos_efectivo=11; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=91	relocate_intra=P162/A19/M0; swap_intra=P231/A28/M0; 2opt_intra=P226/A27/M0; relocate_inter=P326/A14/M0; swap_inter=P400/A19/M0; 2opt_star=P393/A13/M0; cross_exchange=P399/A14/M0; or_opt_2=P426/A21/M0; or_opt_3=P428/A20/M0
solo_p_inter	cuckoo_search	gdb13	536.0	BKS	18.097014925373134	4		0.7516182420076802	633.0	660.0	27.0	4.090909090909091	84	0	False	0	633.0	28	abandonos_totales=84; aceptaciones_solucion_infactible=208; beta_levy=1.3; fraccion_iter_con_violacion=1.0; iteraciones_con_violacion=84; iteraciones_efectivas=560; iteraciones_sin_mejora_final=84; lambda_capacidad=110.0; max_iter_sin_mejora_efectivo=84; num_nidos_efectivo=11; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=124	relocate_intra=P161/A26/M0; swap_intra=P208/A39/M0; 2opt_intra=P232/A37/M0; relocate_inter=P292/A16/M0; swap_inter=P382/A22/M0; 2opt_star=P412/A18/M0; cross_exchange=P391/A21/M0; or_opt_2=P411/A17/M0; or_opt_3=P405/A12/M0
solo_p_inter	cuckoo_search	gdb13	536.0	BKS	21.641791044776117	5		0.6524572499911301	652.0	660.0	8.0	1.2121212121212122	84	0	False	0	652.0	28	abandonos_totales=84; aceptaciones_solucion_infactible=185; beta_levy=1.3; fraccion_iter_con_violacion=1.0; iteraciones_con_violacion=84; iteraciones_efectivas=560; iteraciones_sin_mejora_final=84; lambda_capacidad=110.0; max_iter_sin_mejora_efectivo=84; num_nidos_efectivo=11; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=101	relocate_intra=P164/A25/M0; swap_intra=P213/A24/M0; 2opt_intra=P194/A40/M0; relocate_inter=P332/A13/M0; swap_inter=P412/A23/M0; 2opt_star=P422/A17/M0; cross_exchange=P398/A13/M0; or_opt_2=P421/A15/M0; or_opt_3=P411/A15/M0
solo_p_inter	cuckoo_search	gdb14	100.0	BKS	10.0	1		0.3901915009919321	110.0	121.0	11.0	9.090909090909092	63	7	True	0	110.0	21	abandonos_totales=63; aceptaciones_solucion_infactible=26; beta_levy=1.3; fraccion_iter_con_violacion=0.31746031746031744; iteraciones_con_violacion=20; iteraciones_efectivas=420; iteraciones_sin_mejora_final=63; lambda_capacidad=40.0; max_iter_sin_mejora_efectivo=63; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=67	relocate_intra=P365/A27/M2; swap_intra=P471/A27/M2; 2opt_intra=P506/A41/M2; relocate_inter=P85/A3/M0; swap_inter=P102/A9/M1; 2opt_star=P108/A5/M0; cross_exchange=P113/A7/M0; or_opt_2=P118/A4/M0; or_opt_3=P109/A7/M0
solo_p_inter	cuckoo_search	gdb14	100.0	BKS	20.0	2		0.46129342300991993	120.0	121.0	1.0	0.8264462809917356	63	12	True	0	120.0	21	abandonos_totales=63; aceptaciones_solucion_infactible=42; beta_levy=1.3; fraccion_iter_con_violacion=0.4603174603174603; iteraciones_con_violacion=29; iteraciones_efectivas=420; iteraciones_sin_mejora_final=63; lambda_capacidad=40.0; max_iter_sin_mejora_efectivo=63; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=77	relocate_intra=P278/A17/M1; swap_intra=P440/A43/M7; 2opt_intra=P418/A39/M2; relocate_inter=P105/A7/M0; swap_inter=P140/A8/M0; 2opt_star=P150/A11/M1; cross_exchange=P122/A6/M1; or_opt_2=P153/A3/M0; or_opt_3=P159/A6/M0
solo_p_inter	cuckoo_search	gdb14	100.0	BKS	20.0	3		0.36337536499195267	120.0	121.0	1.0	0.8264462809917356	63	8	True	0	120.0	21	abandonos_totales=63; aceptaciones_solucion_infactible=36; beta_levy=1.3; fraccion_iter_con_violacion=0.4444444444444444; iteraciones_con_violacion=28; iteraciones_efectivas=420; iteraciones_sin_mejora_final=63; lambda_capacidad=40.0; max_iter_sin_mejora_efectivo=63; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=76	relocate_intra=P317/A27/M2; swap_intra=P461/A42/M4; 2opt_intra=P432/A37/M2; relocate_inter=P91/A4/M0; swap_inter=P155/A7/M0; 2opt_star=P125/A6/M0; cross_exchange=P134/A6/M0; or_opt_2=P140/A4/M0; or_opt_3=P139/A6/M0
solo_p_inter	cuckoo_search	gdb14	100.0	BKS	19.0	4		0.3514170870039379	119.0	121.0	2.0	1.6528925619834711	63	2	True	0	119.0	21	abandonos_totales=63; aceptaciones_solucion_infactible=43; beta_levy=1.3; fraccion_iter_con_violacion=0.5714285714285714; iteraciones_con_violacion=36; iteraciones_efectivas=420; iteraciones_sin_mejora_final=63; lambda_capacidad=40.0; max_iter_sin_mejora_efectivo=63; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=53	relocate_intra=P279/A16/M1; swap_intra=P350/A25/M1; 2opt_intra=P370/A24/M0; relocate_inter=P164/A8/M0; swap_inter=P200/A6/M0; 2opt_star=P171/A14/M0; cross_exchange=P194/A7/M0; or_opt_2=P184/A8/M0; or_opt_3=P183/A8/M0
solo_p_inter	cuckoo_search	gdb14	100.0	BKS	19.0	5		0.45183135599654634	119.0	121.0	2.0	1.6528925619834711	63	3	True	0	119.0	21	abandonos_totales=63; aceptaciones_solucion_infactible=20; beta_levy=1.3; fraccion_iter_con_violacion=0.23809523809523808; iteraciones_con_violacion=15; iteraciones_efectivas=420; iteraciones_sin_mejora_final=63; lambda_capacidad=40.0; max_iter_sin_mejora_efectivo=63; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=49	relocate_intra=P395/A21/M1; swap_intra=P519/A31/M0; 2opt_intra=P584/A32/M2; relocate_inter=P62/A6/M0; swap_inter=P92/A8/M0; 2opt_star=P83/A4/M0; cross_exchange=P96/A6/M0; or_opt_2=P82/A3/M0; or_opt_3=P102/A1/M0
solo_p_inter	cuckoo_search	gdb15	58.0	BKS	10.344827586206897	1		0.30634027399355546	64.0	64.0	0.0	0.0	63	0	True	0	64.0	21	abandonos_totales=63; aceptaciones_solucion_infactible=4; beta_levy=1.3; fraccion_iter_con_violacion=0.06349206349206349; iteraciones_con_violacion=4; iteraciones_efectivas=420; iteraciones_sin_mejora_final=63; lambda_capacidad=20.0; max_iter_sin_mejora_efectivo=63; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=22	relocate_intra=P471/A22/M0; swap_intra=P597/A28/M0; 2opt_intra=P617/A25/M0; relocate_inter=P45/A1/M0; swap_inter=P44/A4/M0; 2opt_star=P44/A1/M0; cross_exchange=P57/A2/M0; or_opt_2=P56/A1/M0; or_opt_3=P34/A1/M0
solo_p_inter	cuckoo_search	gdb15	58.0	BKS	6.896551724137931	2		0.31688292599574197	62.0	64.0	2.0	3.125	63	1	True	0	62.0	21	abandonos_totales=63; aceptaciones_solucion_infactible=9; beta_levy=1.3; fraccion_iter_con_violacion=0.1111111111111111; iteraciones_con_violacion=7; iteraciones_efectivas=420; iteraciones_sin_mejora_final=63; lambda_capacidad=20.0; max_iter_sin_mejora_efectivo=63; num_nidos_efectivo=10; p_inter=0.1; p_inter_max_efectivo=0.8; pa_abandono=0.15; pasos_levy_efectivo=3; reemplazos_exitosos=33	relocate_intra=P506/A22/M0; swap_intra=P633/A34/M0; 2opt_intra=P599/A26/M1; relocate_inter=P40/A3/M0; swap_inter=P55/A1/M0; 2opt_star=P60/A3/M0; cross_exchange=P54/A4/M0; or_opt_2=P48/A1/M0; or_opt_3=P62/A2/M0
