metaheuristica,instancia,familia,tier,bks,costo_antes,gap_antes_%,costo_nuevo_probado,costo_despues,gap_despues_%,mejoro,cruzo_a_<=1%
TS,val6C,val,A(1-3%),424.0,436.0,2.83,436.0,436.0,2.83,False,False
TS,val7A,val,C(10-25%),382.0,427.0,11.78,396.0,396.0,3.665,True,False
TS,val7B,val,B(3-10%),386.0,419.0,8.549,417.0,417.0,8.031,True,False
TS,val7C,val,C(10-25%),437.0,511.0,16.934,489.0,489.0,11.899,True,False
TS,val8A,val,B(3-10%),522.0,545.0,4.406,542.0,542.0,3.831,True,False
TS,val8B,val,B(3-10%),531.0,563.0,6.026,569.0,563.0,6.026,False,False
TS,val8C,val,C(10-25%),657.0,774.0,17.808,726.0,726.0,10.502,True,False
TS,val9A,val,B(3-10%),450.0,485.0,7.778,489.0,485.0,7.778,False,False
TS,val9B,val,C(10-25%),453.0,500.0,10.375,487.0,487.0,7.506,True,False
TS,val9C,val,C(10-25%),459.0,513.0,11.765,497.0,497.0,8.279,True,False
TS,val9D,val,C(10-25%),515.0,584.0,13.398,574.0,574.0,11.456,True,False
TS,val10A,val,B(3-10%),637.0,668.0,4.867,678.0,668.0,4.867,False,False
TS,val10B,val,B(3-10%),645.0,694.0,7.597,684.0,684.0,6.047,True,False
TS,val10C,val,B(3-10%),655.0,709.0,8.244,689.0,689.0,5.191,True,False
TS,val10D,val,C(10-25%),734.0,826.0,12.534,799.0,799.0,8.856,True,False
TS,gdb8,gdb,A(1-3%),348.0,354.0,1.724,364.0,354.0,1.724,False,False
TS,gdb9,gdb,B(3-10%),303.0,321.0,5.941,314.0,314.0,3.63,True,False
TS,gdb11,gdb,A(1-3%),395.0,399.0,1.013,395.0,395.0,0.0,True,True
TS,gdb23,gdb,B(3-10%),233.0,243.0,4.292,237.0,237.0,1.717,True,False
TS,egl-e1-A,egl,B(3-10%),3548.0,3803.0,7.187,3676.0,3676.0,3.608,True,False
TS,egl-e1-B,egl,B(3-10%),4498.0,4673.0,3.891,4569.0,4569.0,1.578,True,False
TS,egl-e1-C,egl,B(3-10%),5595.0,5854.0,4.629,5739.0,5739.0,2.574,True,False
TS,egl-e2-A,egl,C(10-25%),5018.0,5879.0,17.158,5565.0,5565.0,10.901,True,False
TS,egl-e2-B,egl,C(10-25%),6317.0,7168.0,13.472,6730.0,6730.0,6.538,True,False
TS,egl-e2-C,egl,C(10-25%),8335.0,9418.0,12.993,9040.0,9040.0,8.458,True,False
TS,egl-e3-A,egl,D(>25%),5898.0,7483.0,26.874,6989.0,6989.0,18.498,True,False
TS,egl-e3-B,egl,C(10-25%),7744.0,9064.0,17.045,8873.0,8873.0,14.579,True,False
TS,egl-e3-C,egl,B(3-10%),10244.0,11103.0,8.385,11294.0,11103.0,8.385,False,False
TS,egl-e4-A,egl,C(10-25%),6408.0,7972.0,24.407,7506.0,7506.0,17.135,True,False
TS,egl-e4-B,egl,C(10-25%),8935.0,10817.0,21.063,10374.0,10374.0,16.105,True,False
TS,egl-e4-C,egl,D(>25%),11512.0,15817.0,37.396,15060.0,15060.0,30.82,True,False
TS,egl-s1-A,egl,C(10-25%),5018.0,6223.0,24.014,5838.0,5838.0,16.341,True,False
TS,egl-s1-B,egl,C(10-25%),6388.0,7232.0,13.212,7027.0,7027.0,10.003,True,False
TS,egl-s1-C,egl,C(10-25%),8518.0,10051.0,17.997,9945.0,9945.0,16.753,True,False
TS,egl-s2-A,egl,C(10-25%),9825.0,12211.0,24.285,11741.0,11741.0,19.501,True,False
TS,egl-s2-B,egl,D(>25%),13017.0,19576.0,50.388,18443.0,18443.0,41.684,True,False
TS,egl-s2-C,egl,C(10-25%),16425.0,20350.0,23.896,19724.0,19724.0,20.085,True,False
TS,egl-s3-A,egl,C(10-25%),10165.0,11897.0,17.039,11612.0,11612.0,14.235,True,False
TS,egl-s3-B,egl,C(10-25%),13648.0,16749.0,22.721,16042.0,16042.0,17.541,True,False
TS,egl-s3-C,egl,C(10-25%),17188.0,20887.0,21.521,20094.0,20094.0,16.907,True,False
TS,egl-s4-A,egl,D(>25%),12153.0,15674.0,28.972,14726.0,14726.0,21.172,True,False
TS,egl-s4-B,egl,D(>25%),16113.0,20765.0,28.871,19364.0,19364.0,20.176,True,False
TS,egl-s4-C,egl,D(>25%),20430.0,29338.0,43.603,28878.0,28878.0,41.351,True,False
RTS,kshs4,kshs,B(3-10%),11498.0,11909.0,3.575,11498.0,11498.0,0.0,True,True
RTS,gdb20,gdb,A(1-3%),121.0,124.0,2.479,121.0,121.0,0.0,True,True
RTS,gdb3,gdb,A(1-3%),275.0,279.0,1.455,275.0,275.0,0.0,True,True
RTS,gdb12,gdb,B(3-10%),458.0,484.0,5.677,456.0,456.0,-0.437,True,True
RTS,gdb2,gdb,A(1-3%),339.0,345.0,1.77,339.0,339.0,0.0,True,True
RTS,gdb13,gdb,B(3-10%),536.0,579.0,8.022,540.0,540.0,0.746,True,True
RTS,gdb21,gdb,B(3-10%),156.0,161.0,3.205,156.0,156.0,0.0,True,True
RTS,val1B,val,B(3-10%),247.0,259.0,4.858,257.0,257.0,4.049,True,False
RTS,val1C,val,B(3-10%),319.0,346.0,8.464,342.0,342.0,7.21,True,False
RTS,val2C,val,B(3-10%),528.0,558.0,5.682,542.0,542.0,2.652,True,False
RTS,val4A,val,A(1-3%),522.0,536.0,2.682,532.0,532.0,1.916,True,False
RTS,val4B,val,B(3-10%),534.0,551.0,3.184,548.0,548.0,2.622,True,False
RTS,val4C,val,B(3-10%),550.0,603.0,9.636,591.0,591.0,7.455,True,False
RTS,val4D,val,B(3-10%),650.0,713.0,9.692,705.0,705.0,8.462,True,False
RTS,val5A,val,A(1-3%),566.0,576.0,1.767,574.0,574.0,1.413,True,False
RTS,val5B,val,B(3-10%),589.0,608.0,3.226,604.0,604.0,2.547,True,False
RTS,val5C,val,B(3-10%),617.0,650.0,5.348,644.0,644.0,4.376,True,False
RTS,val5D,val,B(3-10%),718.0,786.0,9.471,776.0,776.0,8.078,True,False
RTS,val6B,val,A(1-3%),340.0,350.0,2.941,342.0,342.0,0.588,True,True
RTS,val6C,val,A(1-3%),424.0,434.0,2.358,432.0,432.0,1.887,True,False
RTS,val7A,val,B(3-10%),382.0,405.0,6.021,396.0,396.0,3.665,True,False
RTS,val7B,val,B(3-10%),386.0,405.0,4.922,400.0,400.0,3.627,True,False
RTS,val7C,val,B(3-10%),437.0,472.0,8.009,483.0,472.0,8.009,False,False
RTS,val8A,val,B(3-10%),522.0,541.0,3.64,530.0,530.0,1.533,True,False
RTS,val8B,val,B(3-10%),531.0,556.0,4.708,549.0,549.0,3.39,True,False
RTS,val8C,val,C(10-25%),657.0,749.0,14.003,725.0,725.0,10.35,True,False
RTS,val9A,val,B(3-10%),450.0,474.0,5.333,467.0,467.0,3.778,True,False
RTS,val9B,val,B(3-10%),453.0,479.0,5.74,473.0,473.0,4.415,True,False
RTS,val9C,val,B(3-10%),459.0,496.0,8.061,487.0,487.0,6.1,True,False
RTS,val9D,val,C(10-25%),515.0,587.0,13.981,570.0,570.0,10.68,True,False
RTS,val10A,val,B(3-10%),637.0,660.0,3.611,653.0,653.0,2.512,True,False
RTS,val10B,val,B(3-10%),645.0,671.0,4.031,658.0,658.0,2.016,True,False
RTS,val10C,val,B(3-10%),655.0,691.0,5.496,679.0,679.0,3.664,True,False
RTS,val10D,val,B(3-10%),734.0,800.0,8.992,792.0,792.0,7.902,True,False
RTS,gdb8,gdb,A(1-3%),348.0,354.0,1.724,358.0,354.0,1.724,False,False
RTS,gdb9,gdb,B(3-10%),303.0,323.0,6.601,314.0,314.0,3.63,True,False
RTS,gdb11,gdb,A(1-3%),395.0,399.0,1.013,399.0,399.0,1.013,False,False
RTS,gdb23,gdb,B(3-10%),233.0,245.0,5.15,239.0,239.0,2.575,True,False
RTS,egl-e1-A,egl,A(1-3%),3548.0,3588.0,1.127,3584.0,3584.0,1.015,True,False
RTS,egl-e1-B,egl,A(1-3%),4498.0,4553.0,1.223,4569.0,4553.0,1.223,False,False
RTS,egl-e1-C,egl,B(3-10%),5595.0,5982.0,6.917,5687.0,5687.0,1.644,True,False
RTS,egl-e2-A,egl,C(10-25%),5018.0,5568.0,10.961,5265.0,5265.0,4.922,True,False
RTS,egl-e2-B,egl,B(3-10%),6317.0,6865.0,8.675,6899.0,6865.0,8.675,False,False
RTS,egl-e2-C,egl,C(10-25%),8335.0,9521.0,14.229,9204.0,9204.0,10.426,True,False
RTS,egl-e3-A,egl,C(10-25%),5898.0,7095.0,20.295,6568.0,6568.0,11.36,True,False
RTS,egl-e3-B,egl,C(10-25%),7744.0,9229.0,19.176,8832.0,8832.0,14.05,True,False
RTS,egl-e3-C,egl,C(10-25%),10244.0,12116.0,18.274,11497.0,11497.0,12.232,True,False
RTS,egl-e4-A,egl,C(10-25%),6408.0,7428.0,15.918,7361.0,7361.0,14.872,True,False
RTS,egl-e4-B,egl,C(10-25%),8935.0,11105.0,24.287,10621.0,10621.0,18.87,True,False
RTS,egl-e4-C,egl,D(>25%),11512.0,16042.0,39.35,15266.0,15266.0,32.609,True,False
RTS,egl-s1-A,egl,C(10-25%),5018.0,5885.0,17.278,5567.0,5567.0,10.941,True,False
RTS,egl-s1-B,egl,C(10-25%),6388.0,7381.0,15.545,7112.0,7112.0,11.334,True,False
RTS,egl-s1-C,egl,D(>25%),8518.0,10827.0,27.107,10051.0,10051.0,17.997,True,False
RTS,egl-s2-A,egl,D(>25%),9825.0,13006.0,32.377,11662.0,11662.0,18.697,True,False
RTS,egl-s2-B,egl,D(>25%),13017.0,20825.0,59.983,19492.0,19492.0,49.743,True,False
RTS,egl-s2-C,egl,D(>25%),16425.0,23046.0,40.311,22252.0,22252.0,35.476,True,False
RTS,egl-s3-A,egl,C(10-25%),10165.0,12335.0,21.348,12035.0,12035.0,18.396,True,False
RTS,egl-s3-B,egl,D(>25%),13648.0,18077.0,32.452,17384.0,17384.0,27.374,True,False
RTS,egl-s3-C,egl,D(>25%),17188.0,23924.0,39.19,22728.0,22728.0,32.232,True,False
RTS,egl-s4-A,egl,D(>25%),12153.0,17040.0,40.212,15672.0,15672.0,28.956,True,False
RTS,egl-s4-B,egl,D(>25%),16113.0,23043.0,43.009,21940.0,21940.0,36.163,True,False
RTS,egl-s4-C,egl,D(>25%),20430.0,34410.0,68.429,32735.0,32735.0,60.23,True,False
ABC,kshs4,kshs,B(3-10%),11498.0,12095.0,5.192,11498.0,11498.0,0.0,True,True
ABC,kshs5,kshs,B(3-10%),10957.0,11297.0,3.103,10957.0,10957.0,0.0,True,True
ABC,gdb4,gdb,A(1-3%),287.0,292.0,1.742,287.0,287.0,0.0,True,True
ABC,gdb1,gdb,A(1-3%),316.0,323.0,2.215,316.0,316.0,0.0,True,True
ABC,gdb20,gdb,A(1-3%),121.0,123.0,1.653,123.0,123.0,1.653,False,False
ABC,gdb3,gdb,A(1-3%),275.0,283.0,2.909,275.0,275.0,0.0,True,True
ABC,gdb12,gdb,B(3-10%),458.0,488.0,6.55,472.0,472.0,3.057,True,False
ABC,gdb13,gdb,A(1-3%),536.0,552.0,2.985,544.0,544.0,1.493,True,False
ABC,gdb16,gdb,A(1-3%),127.0,129.0,1.575,127.0,127.0,0.0,True,True
ABC,gdb21,gdb,A(1-3%),156.0,159.0,1.923,158.0,158.0,1.282,True,False
ABC,val1B,val,B(3-10%),247.0,257.0,4.049,253.0,253.0,2.429,True,False
ABC,val1C,val,A(1-3%),319.0,324.0,1.567,328.0,324.0,1.567,False,False
ABC,val2B,val,A(1-3%),330.0,338.0,2.424,331.0,331.0,0.303,True,True
ABC,val2C,val,B(3-10%),528.0,558.0,5.682,550.0,550.0,4.167,True,False
ABC,val3C,val,B(3-10%),162.0,171.0,5.556,166.0,166.0,2.469,True,False
ABC,val4A,val,A(1-3%),522.0,534.0,2.299,544.0,534.0,2.299,False,False
ABC,val4B,val,B(3-10%),534.0,570.0,6.742,558.0,558.0,4.494,True,False
ABC,val4C,val,C(10-25%),550.0,615.0,11.818,594.0,594.0,8.0,True,False
ABC,val4D,val,C(10-25%),650.0,758.0,16.615,704.0,704.0,8.308,True,False
ABC,val5A,val,B(3-10%),566.0,598.0,5.654,580.0,580.0,2.473,True,False
ABC,val5B,val,B(3-10%),589.0,609.0,3.396,600.0,600.0,1.868,True,False
ABC,val5C,val,B(3-10%),617.0,643.0,4.214,636.0,636.0,3.079,True,False
ABC,val5D,val,C(10-25%),718.0,813.0,13.231,792.0,792.0,10.306,True,False
ABC,val6A,val,A(1-3%),330.0,334.0,1.212,332.0,332.0,0.606,True,True
