metaheuristica,instancia,familia,tier,bks,costo_antes,gap_antes_%,costo_nuevo_probado,costo_despues,gap_despues_%,mejoro,cruzo_a_<=1%
CS,val10D,val,B(3-10%),734.0,798.0,8.719,788.0,788.0,7.357,True,False
CS,gdb8,gdb,B(3-10%),348.0,368.0,5.747,366.0,366.0,5.172,True,False
CS,gdb9,gdb,B(3-10%),303.0,320.0,5.611,320.0,320.0,5.611,False,False
CS,gdb11,gdb,B(3-10%),395.0,426.0,7.848,415.0,415.0,5.063,True,False
CS,gdb22,gdb,A(1-3%),200.0,204.0,2.0,202.0,202.0,1.0,True,True
CS,gdb23,gdb,B(3-10%),233.0,243.0,4.292,243.0,243.0,4.292,False,False
CS,egl-e1-A,egl,C(10-25%),3548.0,4035.0,13.726,3867.0,3867.0,8.991,True,False
CS,egl-e1-B,egl,B(3-10%),4498.0,4788.0,6.447,4691.0,4691.0,4.291,True,False
CS,egl-e1-C,egl,B(3-10%),5595.0,5793.0,3.539,5761.0,5761.0,2.967,True,False
CS,egl-e2-A,egl,B(3-10%),5018.0,5386.0,7.334,5367.0,5367.0,6.955,True,False
CS,egl-e2-B,egl,B(3-10%),6317.0,6800.0,7.646,6606.0,6606.0,4.575,True,False
CS,egl-e2-C,egl,B(3-10%),8335.0,8955.0,7.439,8671.0,8671.0,4.031,True,False
CS,egl-e3-A,egl,C(10-25%),5898.0,6670.0,13.089,6433.0,6433.0,9.071,True,False
CS,egl-e3-B,egl,B(3-10%),7744.0,8450.0,9.117,8287.0,8287.0,7.012,True,False
CS,egl-e3-C,egl,B(3-10%),10244.0,10924.0,6.638,10838.0,10838.0,5.799,True,False
CS,egl-e4-A,egl,C(10-25%),6408.0,7467.0,16.526,7023.0,7023.0,9.597,True,False
CS,egl-e4-B,egl,C(10-25%),8935.0,9843.0,10.162,9477.0,9477.0,6.066,True,False
CS,egl-e4-C,egl,B(3-10%),11512.0,12548.0,8.999,12457.0,12457.0,8.209,True,False
CS,egl-s1-A,egl,C(10-25%),5018.0,5672.0,13.033,5377.0,5377.0,7.154,True,False
CS,egl-s1-B,egl,B(3-10%),6388.0,6891.0,7.874,6813.0,6813.0,6.653,True,False
CS,egl-s1-C,egl,B(3-10%),8518.0,9265.0,8.77,9026.0,9026.0,5.964,True,False
CS,egl-s2-A,egl,C(10-25%),9825.0,12051.0,22.656,11267.0,11267.0,14.677,True,False
CS,egl-s2-B,egl,C(10-25%),13017.0,15462.0,18.783,15037.0,15037.0,15.518,True,False
CS,egl-s2-C,egl,C(10-25%),16425.0,18801.0,14.466,18163.0,18163.0,10.581,True,False
CS,egl-s3-A,egl,C(10-25%),10165.0,11776.0,15.848,11187.0,11187.0,10.054,True,False
CS,egl-s3-B,egl,C(10-25%),13648.0,15610.0,14.376,15019.0,15019.0,10.045,True,False
CS,egl-s3-C,egl,C(10-25%),17188.0,19888.0,15.709,18924.0,18924.0,10.1,True,False
CS,egl-s4-A,egl,C(10-25%),12153.0,14482.0,19.164,13718.0,13718.0,12.877,True,False
CS,egl-s4-B,egl,C(10-25%),16113.0,19100.0,18.538,18191.0,18191.0,12.896,True,False
CS,egl-s4-C,egl,C(10-25%),20430.0,23399.0,14.533,22534.0,22534.0,10.299,True,False
VDO,kshs4,kshs,C(10-25%),11498.0,12887.0,12.08,11498.0,11498.0,0.0,True,True
VDO,kshs5,kshs,B(3-10%),10957.0,11557.0,5.476,10957.0,10957.0,0.0,True,True
VDO,gdb14,gdb,A(1-3%),100.0,102.0,2.0,100.0,100.0,0.0,True,True
VDO,gdb1,gdb,A(1-3%),316.0,323.0,2.215,316.0,316.0,0.0,True,True
VDO,gdb20,gdb,B(3-10%),121.0,130.0,7.438,122.0,122.0,0.826,True,True
VDO,gdb3,gdb,B(3-10%),275.0,289.0,5.091,275.0,275.0,0.0,True,True
VDO,gdb6,gdb,A(1-3%),298.0,301.0,1.007,298.0,298.0,0.0,True,True
VDO,gdb7,gdb,A(1-3%),325.0,331.0,1.846,325.0,325.0,0.0,True,True
VDO,gdb12,gdb,B(3-10%),458.0,500.0,9.17,456.0,456.0,-0.437,True,True
VDO,gdb10,gdb,B(3-10%),275.0,292.0,6.182,275.0,275.0,0.0,True,True
VDO,gdb2,gdb,B(3-10%),339.0,356.0,5.015,345.0,345.0,1.77,True,False
VDO,gdb5,gdb,B(3-10%),377.0,393.0,4.244,377.0,377.0,0.0,True,True
VDO,gdb13,gdb,B(3-10%),536.0,579.0,8.022,540.0,540.0,0.746,True,True
VDO,gdb16,gdb,A(1-3%),127.0,129.0,1.575,127.0,127.0,0.0,True,True
VDO,gdb21,gdb,B(3-10%),156.0,166.0,6.41,160.0,160.0,2.564,True,False
VDO,val1A,val,B(3-10%),247.0,256.0,3.644,247.0,247.0,0.0,True,True
VDO,val1B,val,C(10-25%),247.0,293.0,18.623,251.0,251.0,1.619,True,False
VDO,val1C,val,C(10-25%),319.0,395.0,23.824,341.0,341.0,6.897,True,False
VDO,val2A,val,A(1-3%),298.0,305.0,2.349,298.0,298.0,0.0,True,True
VDO,val2B,val,B(3-10%),330.0,343.0,3.939,331.0,331.0,0.303,True,True
VDO,val2C,val,C(10-25%),528.0,597.0,13.068,536.0,536.0,1.515,True,False
VDO,val3A,val,A(1-3%),105.0,108.0,2.857,106.0,106.0,0.952,True,True
VDO,val3B,val,B(3-10%),111.0,116.0,4.505,113.0,113.0,1.802,True,False
VDO,val3C,val,C(10-25%),162.0,179.0,10.494,166.0,166.0,2.469,True,False
VDO,val4A,val,C(10-25%),522.0,625.0,19.732,540.0,540.0,3.448,True,False
VDO,val4B,val,C(10-25%),534.0,654.0,22.472,564.0,564.0,5.618,True,False
VDO,val4C,val,D(>25%),550.0,765.0,39.091,632.0,632.0,14.909,True,False
VDO,val4D,val,D(>25%),650.0,922.0,41.846,806.0,806.0,24.0,True,False
VDO,val5A,val,B(3-10%),566.0,594.0,4.947,585.0,585.0,3.357,True,False
VDO,val5B,val,C(10-25%),589.0,657.0,11.545,604.0,604.0,2.547,True,False
VDO,val5C,val,C(10-25%),617.0,711.0,15.235,664.0,664.0,7.618,True,False
VDO,val5D,val,C(10-25%),718.0,882.0,22.841,849.0,849.0,18.245,True,False
VDO,val6A,val,B(3-10%),330.0,346.0,4.848,332.0,332.0,0.606,True,True
VDO,val6B,val,B(3-10%),340.0,374.0,10.0,346.0,346.0,1.765,True,False
VDO,val6C,val,B(3-10%),424.0,452.0,6.604,453.0,452.0,6.604,False,False
VDO,val7A,val,C(10-25%),382.0,423.0,10.733,396.0,396.0,3.665,True,False
VDO,val7B,val,C(10-25%),386.0,459.0,18.912,413.0,413.0,6.995,True,False
VDO,val7C,val,D(>25%),437.0,645.0,47.597,591.0,591.0,35.24,True,False
VDO,val8A,val,B(3-10%),522.0,556.0,6.513,560.0,556.0,6.513,False,False
VDO,val8B,val,B(3-10%),531.0,579.0,9.04,593.0,579.0,9.04,False,False
VDO,val8C,val,C(10-25%),657.0,812.0,23.592,800.0,800.0,21.766,True,False
VDO,val9A,val,C(10-25%),450.0,521.0,15.778,511.0,511.0,13.556,True,False
VDO,val9B,val,D(>25%),453.0,947.0,109.051,542.0,542.0,19.647,True,False
VDO,val9C,val,D(>25%),459.0,977.0,112.854,544.0,544.0,18.519,True,False
VDO,val9D,val,D(>25%),515.0,960.0,86.408,725.0,725.0,40.777,True,False
VDO,val10A,val,C(10-25%),637.0,725.0,13.815,693.0,693.0,8.791,True,False
VDO,val10B,val,D(>25%),645.0,1236.0,91.628,733.0,733.0,13.643,True,False
VDO,val10C,val,D(>25%),655.0,975.0,48.855,777.0,777.0,18.626,True,False
VDO,val10D,val,C(10-25%),734.0,887.0,20.845,996.0,887.0,20.845,False,False
VDO,gdb8,gdb,C(10-25%),348.0,393.0,12.931,371.0,371.0,6.609,True,False
VDO,gdb9,gdb,C(10-25%),303.0,359.0,18.482,372.0,359.0,18.482,False,False
VDO,gdb11,gdb,B(3-10%),395.0,424.0,7.342,407.0,407.0,3.038,True,False
VDO,gdb18,gdb,A(1-3%),164.0,168.0,2.439,164.0,164.0,0.0,True,True
VDO,gdb22,gdb,A(1-3%),200.0,206.0,3.0,203.0,203.0,1.5,True,False
VDO,gdb23,gdb,B(3-10%),233.0,249.0,6.867,252.0,249.0,6.867,False,False
VDO,egl-e1-A,egl,D(>25%),3548.0,6104.0,72.041,7004.0,6104.0,72.041,False,False
VDO,egl-e1-B,egl,D(>25%),4498.0,7955.0,76.856,7377.0,7377.0,64.006,True,False
VDO,egl-e1-C,egl,D(>25%),5595.0,9292.0,66.077,8448.0,8448.0,50.992,True,False
VDO,egl-e2-A,egl,D(>25%),5018.0,9618.0,91.67,9630.0,9618.0,91.67,False,False
VDO,egl-e2-B,egl,D(>25%),6317.0,8903.0,40.937,11334.0,8903.0,40.937,False,False
VDO,egl-e2-C,egl,D(>25%),8335.0,11210.0,34.493,11210.0,11210.0,34.493,False,False
VDO,egl-e3-A,egl,D(>25%),5898.0,7567.0,28.298,10970.0,7567.0,28.298,False,False
VDO,egl-e3-B,egl,D(>25%),7744.0,10379.0,34.026,14108.0,10379.0,34.026,False,False
VDO,egl-e3-C,egl,D(>25%),10244.0,13388.0,30.691,13304.0,13304.0,29.871,True,False
VDO,egl-e4-A,egl,D(>25%),6408.0,9354.0,45.974,10460.0,9354.0,45.974,False,False
VDO,egl-e4-B,egl,D(>25%),8935.0,11287.0,26.323,15284.0,11287.0,26.323,False,False
VDO,egl-e4-C,egl,D(>25%),11512.0,14915.0,29.56,14915.0,14915.0,29.56,False,False
VDO,egl-s1-A,egl,D(>25%),5018.0,8038.0,60.183,9950.0,8038.0,60.183,False,False
VDO,egl-s1-B,egl,D(>25%),6388.0,10498.0,64.339,10500.0,10498.0,64.339,False,False
VDO,egl-s1-C,egl,D(>25%),8518.0,13505.0,58.547,13218.0,13218.0,55.177,True,False
VDO,egl-s2-A,egl,D(>25%),9825.0,16362.0,66.534,16362.0,16362.0,66.534,False,False
VDO,egl-s2-B,egl,D(>25%),13017.0,21478.0,65.0,21354.0,21354.0,64.047,True,False
VDO,egl-s2-C,egl,D(>25%),16425.0,27574.0,67.878,27311.0,27311.0,66.277,True,False
VDO,egl-s3-A,egl,D(>25%),10165.0,17862.0,75.721,17862.0,17862.0,75.721,False,False
VDO,egl-s3-B,egl,D(>25%),13648.0,24358.0,78.473,24312.0,24312.0,78.136,True,False
VDO,egl-s3-C,egl,D(>25%),17188.0,30598.0,78.02,30572.0,30572.0,77.868,True,False
VDO,egl-s4-A,egl,D(>25%),12153.0,22150.0,82.26,22150.0,22150.0,82.26,False,False
VDO,egl-s4-B,egl,D(>25%),16113.0,29241.0,81.475,29241.0,29241.0,81.475,False,False
VDO,egl-s4-C,egl,D(>25%),20430.0,36509.0,78.703,36137.0,36137.0,76.882,True,False
