metaheuristica,instancia,familia,gap_%,bks,costo_actual,tier
RTS,gdb12,gdb,5.677,458,484,B(3-10%)
RTS,gdb2,gdb,1.77,339,345,A(1-3%)
RTS,gdb13,gdb,8.022,536,579,B(3-10%)
RTS,gdb21,gdb,3.205,156,161,B(3-10%)
RTS,val1B,val,4.858,247,259,B(3-10%)
RTS,val1C,val,8.464,319,346,B(3-10%)
RTS,val2C,val,5.682,528,558,B(3-10%)
RTS,val4A,val,2.682,522,536,A(1-3%)
RTS,val4B,val,3.184,534,551,B(3-10%)
RTS,val4C,val,9.636,550,603,B(3-10%)
RTS,val4D,val,9.692,650,713,B(3-10%)
RTS,val5A,val,1.767,566,576,A(1-3%)
RTS,val5B,val,3.226,589,608,B(3-10%)
RTS,val5C,val,5.348,617,650,B(3-10%)
RTS,val5D,val,9.471,718,786,B(3-10%)
RTS,val6B,val,2.941,340,350,A(1-3%)
RTS,val6C,val,2.358,424,434,A(1-3%)
RTS,val7A,val,6.021,382,405,B(3-10%)
RTS,val7B,val,4.922,386,405,B(3-10%)
RTS,val7C,val,8.009,437,472,B(3-10%)
RTS,val8A,val,3.64,522,541,B(3-10%)
RTS,val8B,val,4.708,531,556,B(3-10%)
RTS,val8C,val,14.003,657,749,C(10-25%)
RTS,val9A,val,5.333,450,474,B(3-10%)
RTS,val9B,val,5.74,453,479,B(3-10%)
RTS,val9C,val,8.061,459,496,B(3-10%)
RTS,val9D,val,13.981,515,587,C(10-25%)
RTS,val10A,val,3.611,637,660,B(3-10%)
RTS,val10B,val,4.031,645,671,B(3-10%)
RTS,val10C,val,5.496,655,691,B(3-10%)
RTS,val10D,val,8.992,734,800,B(3-10%)
RTS,gdb8,gdb,1.724,348,354,A(1-3%)
RTS,gdb9,gdb,6.601,303,323,B(3-10%)
RTS,gdb11,gdb,1.013,395,399,A(1-3%)
RTS,gdb23,gdb,5.15,233,245,B(3-10%)
RTS,egl-e1-A,egl,1.127,3548,3588,A(1-3%)
RTS,egl-e1-B,egl,1.223,4498,4553,A(1-3%)
RTS,egl-e1-C,egl,6.917,5595,5982,B(3-10%)
RTS,egl-e2-A,egl,10.961,5018,5568,C(10-25%)
RTS,egl-e2-B,egl,8.675,6317,6865,B(3-10%)
RTS,egl-e2-C,egl,14.229,8335,9521,C(10-25%)
RTS,egl-e3-A,egl,20.295,5898,7095,C(10-25%)
RTS,egl-e3-B,egl,19.176,7744,9229,C(10-25%)
RTS,egl-e3-C,egl,18.274,10244,12116,C(10-25%)
RTS,egl-e4-A,egl,15.918,6408,7428,C(10-25%)
RTS,egl-e4-B,egl,24.287,8935,11105,C(10-25%)
RTS,egl-e4-C,egl,39.35,11512,16042,D(>25%)
RTS,egl-s1-A,egl,17.278,5018,5885,C(10-25%)
RTS,egl-s1-B,egl,15.545,6388,7381,C(10-25%)
RTS,egl-s1-C,egl,27.107,8518,10827,D(>25%)
RTS,egl-s2-A,egl,32.377,9825,13006,D(>25%)
RTS,egl-s2-B,egl,59.983,13017,20825,D(>25%)
RTS,egl-s2-C,egl,40.311,16425,23046,D(>25%)
RTS,egl-s3-A,egl,21.348,10165,12335,C(10-25%)
RTS,egl-s3-B,egl,32.452,13648,18077,D(>25%)
RTS,egl-s3-C,egl,39.19,17188,23924,D(>25%)
RTS,egl-s4-A,egl,40.212,12153,17040,D(>25%)
RTS,egl-s4-B,egl,43.009,16113,23043,D(>25%)
RTS,egl-s4-C,egl,68.429,20430,34410,D(>25%)
ABC,kshs4,kshs,5.192,11498,12095,B(3-10%)
ABC,kshs5,kshs,3.103,10957,11297,B(3-10%)
ABC,gdb4,gdb,1.742,287,292,A(1-3%)
ABC,gdb1,gdb,2.215,316,323,A(1-3%)
ABC,gdb20,gdb,1.653,121,123,A(1-3%)
ABC,gdb3,gdb,2.909,275,283,A(1-3%)
ABC,gdb12,gdb,6.55,458,488,B(3-10%)
ABC,gdb13,gdb,2.985,536,552,A(1-3%)
ABC,gdb16,gdb,1.575,127,129,A(1-3%)
ABC,gdb21,gdb,1.923,156,159,A(1-3%)
ABC,val1B,val,4.049,247,257,B(3-10%)
ABC,val1C,val,1.567,319,324,A(1-3%)
ABC,val2B,val,2.424,330,338,A(1-3%)
ABC,val2C,val,5.682,528,558,B(3-10%)
ABC,val3C,val,5.556,162,171,B(3-10%)
ABC,val4A,val,2.299,522,534,A(1-3%)
ABC,val4B,val,6.742,534,570,B(3-10%)
ABC,val4C,val,11.818,550,615,C(10-25%)
ABC,val4D,val,16.615,650,758,C(10-25%)
ABC,val5A,val,5.654,566,598,B(3-10%)
ABC,val5B,val,3.396,589,609,B(3-10%)
ABC,val5C,val,4.214,617,643,B(3-10%)
ABC,val5D,val,13.231,718,813,C(10-25%)
ABC,val6A,val,1.212,330,334,A(1-3%)
ABC,val6B,val,2.353,340,348,A(1-3%)
ABC,val6C,val,5.896,424,449,B(3-10%)
ABC,val7A,val,3.665,382,396,B(3-10%)
ABC,val7B,val,10.363,386,426,C(10-25%)
ABC,val7C,val,10.755,437,484,C(10-25%)
ABC,val8A,val,6.513,522,556,B(3-10%)
ABC,val8B,val,10.923,531,589,C(10-25%)
ABC,val8C,val,15.525,657,759,C(10-25%)
ABC,val9A,val,6,450,477,B(3-10%)
ABC,val9B,val,9.051,453,494,B(3-10%)
ABC,val9C,val,8.279,459,497,B(3-10%)
ABC,val9D,val,22.136,515,629,C(10-25%)
ABC,val10A,val,3.768,637,661,B(3-10%)
ABC,val10B,val,5.116,645,678,B(3-10%)
ABC,val10C,val,7.176,655,702,B(3-10%)
ABC,val10D,val,13.215,734,831,C(10-25%)
ABC,gdb8,gdb,4.598,348,364,B(3-10%)
ABC,gdb9,gdb,12.871,303,342,C(10-25%)
ABC,gdb11,gdb,1.013,395,399,A(1-3%)
ABC,gdb23,gdb,4.292,233,243,B(3-10%)
ABC,egl-e1-A,egl,25.705,3548,4460,D(>25%)
ABC,egl-e1-B,egl,27.679,4498,5743,D(>25%)
ABC,egl-e1-C,egl,24.522,5595,6967,C(10-25%)
ABC,egl-e2-A,egl,28.776,5018,6462,D(>25%)
ABC,egl-e2-B,egl,37.391,6317,8679,D(>25%)
ABC,egl-e2-C,egl,32.334,8335,11030,D(>25%)
